paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,deprel,sentimentval,category
17,katt,NN.UTR.SIN.IND.NOM,|katt|,|katt..nn.1|katt..nn.2|,|katt..1:0.932|katt..2:0.068|,|,|,,SS,0,egna meningar
17,sitta,VB.INF.AKT,|sitta|,|sitta..vb.1|,|sitta..1:0.928|sitta..3:0.054|sitta..2:0.017|,|sitta..vb.1+ta..vb.1:1.066e-12|,|sitt+ta|,neutral,OO,0,egna meningar
17,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,OA,0,egna meningar
17,ett,DT.NEU.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,0,egna meningar
17,staket,NN.NEU.SIN.IND.NOM,|staket|,|staket..nn.1|,|staket..1:-1.000|,|,|,,PA,0,egna meningar
17,när,HA,|när|,|när..ab.1|,|när..1:0.542|nära..1:0.458|,|,|,,TA,0,egna meningar
17,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,0,egna meningar
17,gick,VB.PRT.AKT,|gå|gå hem|,|gå..vb.1|gå_hem..vbm.1|gå_hem..vbm.2|,|gå..1:0.394|gå..2:0.187|gå..6:0.157|gå..7:0.150|gå..8:0.043|gå..11:0.021|gå..10:0.012|gå..5:0.011|gå..4:0.010|gå..9:0.008|gå..3:0.007|gå_hem..1:-1.000|gå_hem..2:-1.000|,|,|,neutral,TA,0,egna meningar
17,hem,PL,|hem|gå hem:11|,|hem..ab.1|gå_hem..vbm.1:11|gå_hem..vbm.2:11|,|hem..2:-1.000|gå_hem..1:11:-1.000|gå_hem..2:11:-1.000|,|,|,,PL,0,egna meningar
17,.,MAD,|,|,|,|,|,,IP,0,egna meningar
18,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,0,egna meningar
18,favoritbok,NN.UTR.SIN.IND.NOM,|favoritbok|,|,|,|favorit..nn.1+bok..nn.1:7.904e-10|favorit..nn.1+bok..nn.2:7.904e-10|favo..nn.1+rit..nn.1+bok..nn.2:2.342e-19|favo..nn.1+rit..nn.1+bok..nn.1:2.342e-19|favo..nn.1+rita..vb.1+bok..nn.1:2.343e-28|favo..nn.1+rita..vb.1+bok..nn.2:2.343e-28|,|favorit+bok|favo+rit+bok|,,SS,0,egna meningar
18,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,0,egna meningar
18,utlånad,PC.PRF.UTR.SIN.IND.NOM,|låna ut|,|låna_ut..vbm.1|,|låna_ut..1:-1.000|,|ut..ab.1+låna..vb.1:1.233e-16|,|ut+lånad|,,SP,0,egna meningar
18,från,PP,|från|,|från..pp.1|,|från..1:-1.000|,|,|,,RA,0,egna meningar
18,biblioteket,NN.NEU.SIN.DEF.NOM,|bibliotek|,|bibliotek..nn.1|,|bibliotek..1:-1.000|,|,|,neutral,PA,0,egna meningar
18,just,AB,|just|just nu|,|just..ab.1|just..av.1|just_nu..abm.1|,|just..1:0.702|just..2:0.246|schyst..1:0.051|just_nu..1:-1.000|,|,|,,CA,0,egna meningar
18,nu,AB,|nu|just nu:7|,|nu..ab.1|just_nu..abm.1:7|,|nu..1:-1.000|just_nu..1:7:-1.000|,|,|,,TA,0,egna meningar
18,.,MAD,|,|,|,|,|,,IP,0,egna meningar
19,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,0,egna meningar
19,funderar,VB.PRS.AKT,|fundera|,|fundera..vb.1|,|fundera..1:-1.000|,|,|,neutral,ROOT,0,egna meningar
19,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,AA,0,egna meningar
19,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,PA,0,egna meningar
19,starta,VB.INF.AKT,|starta|,|starta..vb.1|starta..vb.2|,|starta..1:0.511|starta..2:0.489|,|star..nn.1+ta..vb.1:4.982e-11|stare..nn.1+ta..vb.1:4.982e-11|,|star+ta|,neutral,IF,0,egna meningar
19,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,0,egna meningar
19,ny,JJ.POS.UTR.SIN.IND.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,neutral,AT,0,egna meningar
19,hobby,NN.UTR.SIN.IND.NOM,|hobby|,|hobby..nn.1|,|hobby..1:-1.000|,|,|,,OO,0,egna meningar
19,.,MAD,|,|,|,|,|,,IP,0,egna meningar
20,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,0,egna meningar
20,glömde,VB.PRT.AKT,|glömma|,|glömma..vb.1|,|glömma..1:0.982|glömma..2:0.018|,|,|,neutral,MS,0,egna meningar
20,mitt,AB,|mitt|,|mitt..ab.1|,|mitt..1:-1.000|,|,|,,AA,0,egna meningar
20,lösenord,NN.NEU.PLU.IND.NOM,|lösenord|,|lösenord..nn.1|,|lösenord..1:-1.000|,|,|,,OO,0,egna meningar
20,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,ROOT,0,egna meningar
20,kunde,VB.PRT.AKT,|kunna|,|kunna..vb.1|,|kunna..3:0.296|kunna..2:0.283|kunna..4:0.267|kunna..1:0.154|,|,|,neutral,+F,0,egna meningar
20,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,,0,egna meningar
20,logga,VB.INF.AKT,|logga|logga in|,|logga..vb.1|logga_in..vbm.1|,|logga..2:0.998|logga..1:0.002|logga_in..1:-1.000|,|,|,,VG,0,egna meningar
20,in,PL,|in|logga in:08|,|in..ab.1|logga_in..vbm.1:08|,|in..1:-1.000|logga_in..1:08:-1.000|,|,|,,PL,0,egna meningar
20,.,MAD,|,|,|,|,|,,IP,0,egna meningar
21,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,SS,-1,egna meningar
21,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,-1,egna meningar
21,tråkigt,JJ.POS.NEU.SIN.IND.NOM,|tråkig|,|tråkig..av.1|,|tråkig..1:0.937|tråkig..2:0.063|,|,|,negative,SP,-1,egna meningar
21,när,HA,|när|,|när..ab.1|,|när..1:0.619|nära..1:0.381|,|,|,,TA,-1,egna meningar
21,vänner,NN.UTR.PLU.IND.NOM,|vän|,|vän..nn.1|,|vän..1:-1.000|,|,|,positive,SS,-1,egna meningar
21,avbokar,VB.PRS.AKT,|avboka|,|avboka..vb.1|,|avboka..1:-1.000|,|av..ab.1+boka..vb.1:8.772e-11|av..av.1+boka..vb.1:2.979e-21|,|av+bokar|,,TA,-1,egna meningar
21,i,PP,|i|i sista minuten|,|i..pp.1|i_sista_minuten..abm.1|,|i..2:-1.000|i_sista_minuten..1:-1.000|,|,|,,RA,-1,egna meningar
21,sista,JJ.SUV.UTR+NEU.SIN+PLU.DEF.NOM,|sista|i sista minuten:07|sista minuten|,|sista..av.1|i_sista_minuten..abm.1:07|sista_minuten..nnm.1|,|sista..1:-1.000|i_sista_minuten..1:07:-1.000|sista_minuten..1:-1.000|,|,|,neutral,DT,-1,egna meningar
21,minuten,NN.UTR.SIN.DEF.NOM,|minut|i sista minuten:07|sista minuten:08|,|minut..nn.1|minut..nn.2|i_sista_minuten..abm.1:07|sista_minuten..nnm.1:08|,|minut..1:0.997|minut..2:0.003|i_sista_minuten..1:07:-1.000|sista_minuten..1:08:-1.000|,|,|,neutral,PA,-1,egna meningar
21,.,MAD,|,|,|,|,|,,IP,-1,egna meningar
22,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,-1,egna meningar
22,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,MS,-1,egna meningar
22,allergisk,JJ.POS.UTR.SIN.IND.NOM,|allergisk|,|allergisk..av.1|,|allergisk..1:0.992|allergisk..2:0.008|,|,|,negative,SP,-1,egna meningar
22,mot,PP,|mot|,|mot..pp.1|,|mot..1:-1.000|mot..2:-1.000|,|,|,,OA,-1,egna meningar
22,nötter,NN.UTR.PLU.IND.NOM,|nöt|,|nöt..nn.1|,|nöt..1:-1.000|,|,|,neutral,PA,-1,egna meningar
22,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,ROOT,-1,egna meningar
22,måste,VB.PRS.AKT,|måste|,|måste..vb.1|,|måste..1:-1.000|,|,|,neutral,+F,-1,egna meningar
22,vara,VB.INF.AKT,|vara|,|vara..vb.1|vara..vb.2|,|vara..2:0.481|vara..1:0.370|vara..3:0.149|,|,|,neutral,VG,-1,egna meningar
22,försiktig,JJ.POS.UTR.SIN.IND.NOM,|försiktig|,|försiktig..av.1|,|försiktig..1:-1.000|,|föra..vb.1+siktig..av.1:5.518e-16|för..nn.1+siktig..av.1:1.250e-18|,|för+siktig|,positive,SP,-1,egna meningar
22,med,PP,|med|,|med..pp.1|,|med..1:-1.000|med..2:-1.000|,|,|,,OA,-1,egna meningar
22,vad,HP.NEU.SIN.IND,|vad|,|vad..pn.1|,|vad..1:-1.000|,|,|,,PA,-1,egna meningar
22,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,-1,egna meningar
22,äter,VB.PRS.AKT,|äta|,|äta..vb.1|,|äta..1:0.923|äta..2:0.077|,|,|,neutral,ET,-1,egna meningar
22,.,MAD,|,|,|,|,|,,IP,-1,egna meningar
23,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,SS,-1,egna meningar
23,var,VB.PRT.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,-1,egna meningar
23,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,-1,egna meningar
23,besvikelse,NN.UTR.SIN.IND.NOM,|besvikelse|,|besvikelse..nn.1|,|besvikelse..1:-1.000|,|,|,negative,SP,-1,egna meningar
23,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,ET,-1,egna meningar
23,konserten,NN.UTR.SIN.DEF.NOM,|konsert|,|konsert..nn.1|,|konsert..1:-1.000|,|kon..nn.1+era..nn.1+ten..nn.1:3.383e-27|,|kons+er+ten|,neutral,SS,-1,egna meningar
23,ställdes,VB.PRT.SFO,|ställa|ställa in|,|ställa..vb.1|ställa_in..vbm.1|,|ställa..1:0.795|ställa..3:0.105|ställa..2:0.078|ställa..4:0.022|ställa_in..1:-1.000|ställa_in..2:-1.000|,|,|,neutral,UA,-1,egna meningar
23,in,PL,|in|ställa in:7|,|in..ab.1|ställa_in..vbm.1:7|,|in..1:-1.000|ställa_in..1:7:-1.000|ställa_in..2:7:-1.000|,|,|,,PL,-1,egna meningar
23,.,MAD,|,|,|,|,|,,IP,-1,egna meningar
24,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,-1,egna meningar
24,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,-1,egna meningar
24,trött,JJ.POS.UTR.SIN.IND.NOM,|trött|,|trött..av.1|,|trött..1:0.797|trött..3:0.143|trött..2:0.060|,|,|,negative,SP,-1,egna meningar
24,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,OA,-1,egna meningar
24,det,DT.NEU.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,DT,-1,egna meningar
24,ständiga,JJ.POS.UTR+NEU.SIN.DEF.NOM,|ständig|,|ständig..av.1|,|ständig..1:-1.000|,|,|,neutral,AT,-1,egna meningar
24,regnet,NN.NEU.SIN.DEF.NOM,|regn|,|regn..nn.1|,|regn..2:0.660|regn..1:0.340|,|,|,,DT,-1,egna meningar
24,denna,DT.UTR.SIN.DEF,|denna|,|denna..pn.1|,|denna..1:-1.000|,|,|,,DT,-1,egna meningar
24,vecka,NN.UTR.SIN.IND.NOM,|vecka|,|vecka..nn.1|,|vecka..1:-1.000|,|,|,neutral,PA,-1,egna meningar
24,.,MAD,|,|,|,|,|,,IP,-1,egna meningar
25,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,SS,-1,egna meningar
25,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,-1,egna meningar
25,så,AB,|så|,|så..ab.1|,|så..1:-1.000|,|,|,,AA,-1,egna meningar
25,frustrerande,PC.PRS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|frustrera|,|frustrera..vb.1|,|frustrera..1:-1.000|,|,|,negative,SP,-1,egna meningar
25,när,HA,|när|,|när..ab.1|,|när..1:0.804|nära..1:0.196|,|,|,,TA,-1,egna meningar
25,folk,NN.NEU.PLU.IND.NOM,|folk|,|folk..nn.1|,|folk..1:0.969|folk..3:0.027|folk..4:0.003|,|,|,neutral,SS,-1,egna meningar
25,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,,-1,egna meningar
25,lyssnar,VB.PRS.AKT,|lyssna|,|lyssna..vb.1|,|lyssna..1:-1.000|,|,|,neutral,TA,-1,egna meningar
25,.,MAD,|,|,|,|,|,,IP,-1,egna meningar
26,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,-1,egna meningar
26,råkade,VB.PRT.AKT,|råka|,|råka..vb.1|,|råka..2:0.824|råka..1:0.176|,|,|,neutral,ROOT,-1,egna meningar
26,spilla,VB.INF.AKT,|spilla|,|spilla..vb.1|,|spilla..1:-1.000|,|spill..nn.1+lägga..vb.1:3.552e-13|spilla..vb.1+lägga..vb.1:1.114e-16|spila..vb.1+lägga..vb.1:2.273e-21|,|spill+la|spil+la|,negative,VG,-1,egna meningar
26,kaffe,NN.NEU.SIN.IND.NOM,|kaffe|,|kaffe..nn.1|,|kaffe..1:-1.000|,|,|,neutral,OO,-1,egna meningar
26,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,OA,-1,egna meningar
26,min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,-1,egna meningar
26,nya,JJ.POS.UTR+NEU.SIN.DEF.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,neutral,AT,-1,egna meningar
26,tröja,NN.UTR.SIN.IND.NOM,|tröja|,|tröja..nn.1|,|tröja..1:-1.000|,|,|,,PA,-1,egna meningar
26,.,MAD,|,|,|,|,|,,IP,-1,egna meningar
27,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,-1,egna meningar
27,hittade,VB.PRT.AKT,|hitta|,|hitta..vb.1|,|hitta..1:-1.000|,|,|,neutral,ROOT,-1,egna meningar
27,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,-1,egna meningar
27,spricka,NN.UTR.SIN.IND.NOM,|spricka|,|spricka..nn.1|,|spricka..2:-1.000|,|,|,,OO,-1,egna meningar
27,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,RA,-1,egna meningar
27,min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,-1,egna meningar
27,mobilskärm,NN.UTR.SIN.IND.NOM,|mobilskärm|,|,|,|mobil..av.1+skärm..nn.1:9.043e-12|mobil..nn.1+skärm..nn.1:3.133e-19|mo..nn.1+bil..nn.1+skärm..nn.1:5.302e-17|mo..nn.1+bila..nn.1+skärm..nn.1:5.302e-17|mo..nn.1+bila..vb.1+skärm..nn.1:1.533e-28|,|mobil+skärm|mo+bil+skärm|,,PA,-1,egna meningar
27,idag,AB,|idag|,|idag..ab.1|,|i_dag..1:-1.000|i_dag..2:-1.000|,|,|,,TA,-1,egna meningar
27,.,MAD,|,|,|,|,|,,IP,-1,egna meningar
28,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,SS,-1,egna meningar
28,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,-1,egna meningar
28,så,AB,|så|,|så..ab.1|,|så..1:-1.000|,|,|,,AA,-1,egna meningar
28,irriterande,PC.PRS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|irritera|,|irritera..vb.1|,|irritera..1:-1.000|,|,|,negative,SP,-1,egna meningar
28,med,PP,|med|,|med..pp.1|,|med..1:-1.000|med..2:-1.000|,|,|,,OA,-1,egna meningar
28,förseningar,NN.UTR.PLU.IND.NOM,|försening|,|försening..nn.1|,|försening..1:-1.000|,|,|,,PA,-1,egna meningar
28,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,ET,-1,egna meningar
28,kollektivtrafiken,NN.UTR.SIN.DEF.NOM,|kollektivtrafik|,|kollektivtrafik..nn.1|,|kollektivtrafik..1:-1.000|,|kollektiv..nn.1+trafik..nn.1:1.863e-11|kollektiv..av.1+trafik..nn.1:2.639e-12|,|kollektiv+trafiken|,,PA,-1,egna meningar
28,.,MAD,|,|,|,|,|,,IP,-1,egna meningar
29,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,-1,egna meningar
29,kände,VB.PRT.AKT,|känna|känna sig|,|känna..vb.1|känna_sig..vbm.1|,|känna..1:0.982|känna..3:0.018|känna_sig..1:-1.000|,|,|,neutral,ROOT,-1,egna meningar
29,mig,PN.UTR.SIN.DEF.OBJ,|jag|känna sig:02|,|jag..pn.1|känna_sig..vbm.1:02|,|jag..1:-1.000|känna_sig..1:02:-1.000|,|,|,,OO,-1,egna meningar
29,utelämnad,PC.PRF.UTR.SIN.IND.NOM,|utelämna|,|utelämna..vb.1|,|utelämna..1:-1.000|,|ute..ab.1+lämna..vb.1:3.914e-17|ute..av.1+lämna..vb.1:1.578e-26|ut..ab.1+el..nn.1+ämna..vb.1:2.688e-21|,|ute+lämnad|ut+el+ämnad|,,OP,-1,egna meningar
29,när,HA,|när|,|när..ab.1|,|när..1:0.931|nära..1:0.069|,|,|,,TA,-1,egna meningar
29,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,-1,egna meningar
29,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,,-1,egna meningar
29,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..1:0.855|bli..2:0.145|,|,|,neutral,TA,-1,egna meningar
29,inbjuden,PC.PRF.UTR.SIN.IND.NOM,|bjuda in|,|bjuda_in..vbm.1|,|bjuda_in..1:-1.000|bjuda_in..2:-1.000|,|in..ab.1+bjuda..vb.1:3.848e-16|,|in+bjuden|,,SP,-1,egna meningar
29,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,OA,-1,egna meningar
29,festen,NN.UTR.SIN.DEF.NOM,|fest|,|fest..nn.1|,|fest..1:-1.000|,|fe..nn.1+sten..nn.1:7.320e-19|fe..nn.1+sten..nn.2:7.320e-19|,|fe+sten|,positive,PA,-1,egna meningar
29,.,MAD,|,|,|,|,|,,IP,-1,egna meningar
30,Efter,PP,|efter|,|efter..pp.1|,|efter..1:-1.000|efter..2:-1.000|,|,|,,TA,-1,egna meningar
30,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,-1,egna meningar
30,lång,JJ.POS.UTR.SIN.IND.NOM,|lång|,|lång..av.1|,|lång..1:-1.000|,|,|,neutral,AT,-1,egna meningar
30,dag,NN.UTR.SIN.IND.NOM,|dag|,|dag..nn.1|,|dag..1:0.865|dag..2:0.135|,|,|,neutral,HD,-1,egna meningar
30,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,-1,egna meningar
30,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,-1,egna meningar
30,varm,JJ.POS.UTR.SIN.IND.NOM,|varm|,|varm..av.1|,|varm..1:0.986|varm..2:0.014|,|,|,neutral,AT,-1,egna meningar
30,kopp,NN.UTR.SIN.IND.NOM,|kopp|,|kopp..nn.1|,|kopp..1:-1.000|,|,|,,DT,-1,egna meningar
30,te,NN.NEU.SIN.IND.NOM,|te|,|te..nn.1|,|te..1:-1.000|,|,|,,SS,-1,egna meningar
30,precis,AB,|precis|,|precis..ab.1|,|precis..1:-1.000|,|,|,,XX,-1,egna meningar
30,vad,HP.NEU.SIN.IND,|vad|,|vad..pn.1|,|vad..1:-1.000|,|,|,,OO,-1,egna meningar
30,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,-1,egna meningar
30,behöver,VB.PRS.AKT,|behöva|,|behöva..vb.1|,|behöva..1:-1.000|,|,|,neutral,EF,-1,egna meningar
30,.,MAD,|,|,|,|,|,,IP,-1,egna meningar
31,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
31,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,1,egna meningar
31,så,AB,|så|,|så..ab.1|,|så..1:-1.000|,|,|,,AA,1,egna meningar
31,stolt,JJ.POS.UTR.SIN.IND.NOM,|stolt|,|stolt..av.1|,|stolt..1:-1.000|,|,|,positive,SP,1,egna meningar
31,över,PP,|över|,|över..pp.1|,|över..1:-1.000|över..2:-1.000|,|,|,,OA,1,egna meningar
31,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,1,egna meningar
31,barns,NN.NEU.PLU.IND.GEN,|barn|,|barn..nn.1|,|barn..1:0.595|barn..2:0.405|,|bar..nn.1+n..nn.1:1.836e-12|bar..nn.2+n..nn.1:1.836e-12|bar..av.1+n..nn.1:2.147e-13|,|bar+ns|,neutral,DT,1,egna meningar
31,framsteg,NN.NEU.PLU.IND.NOM,|framsteg|,|framsteg..nn.1|,|framsteg..1:-1.000|,|fram..ab.1+steg..nn.1:1.429e-09|,|fram+steg|,,PA,1,egna meningar
31,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,ET,1,egna meningar
31,skolan,NN.UTR.SIN.DEF.NOM,|skola|,|skola..nn.1|,|skola..1:0.892|skola..3:0.108|,|sko..nn.1+lan..nn.1:4.055e-12|sko..vb.1+lan..nn.1:3.376e-14|,|sko+lan|,neutral,PA,1,egna meningar
31,.,MAD,|,|,|,|,|,,IP,1,egna meningar
32,En,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,1,egna meningar
32,promenad,NN.UTR.SIN.IND.NOM,|promenad|,|promenad..nn.1|,|promenad..1:-1.000|,|,|,,SS,1,egna meningar
32,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,ET,1,egna meningar
32,skogen,NN.UTR.SIN.DEF.NOM,|skog|,|skog..nn.1|,|skog..1:-1.000|,|sko..nn.1+gen..nn.1:9.873e-12|sko..vb.1+gen..nn.1:8.220e-14|,|sko+gen|,neutral,PA,1,egna meningar
32,gör,VB.PRS.AKT,|göra|göra sig|,|göra..vb.1|göra_sig..vbm.1|,|göra..1:0.773|göra..2:0.167|göra..3:0.060|göra_sig..1:-1.000|göra_sig..2:-1.000|göra_sig..3:-1.000|,|,|,neutral,ROOT,1,egna meningar
32,mig,PN.UTR.SIN.DEF.OBJ,|jag|göra sig:05|,|jag..pn.1|göra_sig..vbm.1:05|,|jag..1:-1.000|göra_sig..1:05:-1.000|göra_sig..2:05:-1.000|göra_sig..3:05:-1.000|,|,|,,OO,1,egna meningar
32,alltid,AB,|alltid|,|alltid..ab.1|,|alltid..1:-1.000|,|,|,,TA,1,egna meningar
32,lugn,JJ.POS.UTR.SIN.IND.NOM,|lugn|,|lugn..av.1|,|lugn..1:0.982|lugn..3:0.018|,|,|,positive,CJ,1,egna meningar
32,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,AN,1,egna meningar
32,avslappnad,PC.PRF.UTR.SIN.IND.NOM,|avslappnad|,|avslappnad..av.1|,|avslappnad..1:-1.000|,|av..ab.1+slappna..vb.1:3.852e-20|av..av.1+slappna..vb.1:1.543e-29|,|av+slappnad|,positive,CJ,1,egna meningar
32,.,MAD,|,|,|,|,|,,IP,1,egna meningar
33,Att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,ROOT,1,egna meningar
33,se,VB.INF.AKT,|se|,|se..vb.1|,|ses..1:0.401|se..4:0.162|se..2:0.140|se..5:0.136|se..1:0.133|se..3:0.025|se..6:0.003|,|,|,neutral,IF,1,egna meningar
33,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,1,egna meningar
33,vänner,NN.UTR.PLU.IND.NOM,|vän|,|vän..nn.1|,|vän..1:-1.000|,|,|,positive,OO,1,egna meningar
33,lyckas,VB.PRS.SFO,|lyckas|,|lyckas..vb.1|,|lyckas..1:-1.000|,|,|,positive,VO,1,egna meningar
33,gör,VB.PRS.AKT,|göra|göra sig|,|göra..vb.1|göra_sig..vbm.1|,|göra..1:0.774|göra..2:0.190|göra..3:0.035|göra_sig..1:-1.000|göra_sig..2:-1.000|göra_sig..3:-1.000|,|,|,neutral,VG,1,egna meningar
33,mig,PN.UTR.SIN.DEF.OBJ,|jag|göra sig:06|,|jag..pn.1|göra_sig..vbm.1:06|,|jag..1:-1.000|göra_sig..1:06:-1.000|göra_sig..2:06:-1.000|göra_sig..3:06:-1.000|,|,|,,OO,1,egna meningar
33,otroligt,AB.POS,|otrolig|,|otrolig..av.1|otrolig..av.2|,|otrolig..1:0.951|otrolig..2:0.049|,|,|,neutral,AA,1,egna meningar
33,glad,JJ.POS.UTR.SIN.IND.NOM,|glad|,|glad..av.1|,|glad..1:-1.000|,|,|,positive,OP,1,egna meningar
33,.,MAD,|,|,|,|,|,,IP,1,egna meningar
34,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
34,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..3:0.640|ha..1:0.360|,|,|,neutral,ROOT,1,egna meningar
34,äntligen,AB,|äntligen|,|äntligen..ab.1|,|äntligen..1:-1.000|,|,|,,AA,1,egna meningar
34,lärt,VB.SUP.AKT,|lära|lära sig|,|lära..vb.1|lära_sig..vbm.1|,|lära..3:0.934|lära..1:0.066|lära_sig..1:-1.000|,|,|,neutral,VG,1,egna meningar
34,mig,PN.UTR.SIN.DEF.OBJ,|jag|lära sig:04|,|jag..pn.1|lära_sig..vbm.1:04|,|jag..1:-1.000|lära_sig..1:04:-1.000|,|,|,,SS,1,egna meningar
34,spela,VB.INF.AKT,|spela|,|spela..vb.1|spela..vb.2|,|spela..1:0.465|spela..4:0.340|spela..2:0.100|spela..7:0.061|spela..8:0.012|spela..3:0.011|spela..5:0.008|spela..6:0.003|,|spe..nn.1+lägga..vb.1:2.560e-13|,|spe+la|,neutral,VG,1,egna meningar
34,min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,1,egna meningar
