paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel,sentimentval,category
43,.,MAD,|,|,|,|,|,,7,2,IP,0,egna meningar
44,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,0,egna meningar
44,funderar,VB.PRS.AKT,|fundera|,|fundera..vb.1|,|fundera..1:-1.000|,|,|,0.0,2,0,ROOT,0,egna meningar
44,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,3,2,AA,0,egna meningar
44,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,4,3,PA,0,egna meningar
44,byta,VB.INF.AKT,|byta|,|byta..vb.1|,|byta..1:-1.000|,|by..nn.1+ta..vb.1:1.923e-10|,|by+ta|,0.0,5,4,IF,0,egna meningar
44,mobiltelefonmodell,NN.UTR.SIN.IND.NOM,|mobiltelefonmodell|,|,|,|mobiltelefon..nn.1+modell..nn.1:6.197e-11|mobil..av.1+telefon..nn.1+modell..nn.1:2.264e-16|mo..nn.1+biltelefon..nn.1+modell..nn.1:4.659e-20|mobil..nn.1+telefon..nn.1+modell..nn.1:2.998e-24|,|mobiltelefon+modell|mobil+telefon+modell|mo+biltelefon+modell|,,6,5,OO,0,egna meningar
44,.,MAD,|,|,|,|,|,,7,2,IP,0,egna meningar
45,I,PP,|i|i morgon|,|i..pp.1|i_morgon..abm.1|,|i..2:-1.000|i_morgon..1:-1.000|,|,|,,1,3,TA,0,egna meningar
45,morgon,NN.UTR.SIN.IND.NOM,|morgon|i morgon:01|,|morgon..nn.1|i_morgon..abm.1:01|,|morgon..1:-1.000|i_morgon..1:01:-1.000|,|mor..nn.2+gon..nn.1:9.321e-12|mora..nn.1+gon..nn.1:9.321e-12|mor..nn.1+gon..nn.1:9.321e-12|,|mor+gon|,0.0,2,1,HD,0,egna meningar
45,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,3,0,ROOT,0,egna meningar
45,en,DT.UTR.SIN.IND,|en|en annan|,|en..al.1|en_annan..pnm.1|,|den..1:-1.000|en..2:-1.000|en_annan..1:-1.000|,|,|,,4,6,DT,0,egna meningar
45,annan,JJ.POS.UTR.SIN.IND.NOM,|annan|en annan:04|,|annan..pn.1|en_annan..pnm.1:04|,|annan..1:-1.000|en_annan..1:04:-1.000|,|,|,,5,6,DT,0,egna meningar
45,dag,NN.UTR.SIN.IND.NOM,|dag|,|dag..nn.1|,|dag..1:0.825|dag..2:0.175|,|,|,0.0,6,3,SS,0,egna meningar
45,",",MID,|,|,|,|,|,,7,6,IK,0,egna meningar
45,som,HP.-.-.-,|,|,|,|,|,,8,10,OO,0,egna meningar
45,de,PN.UTR+NEU.PLU.DEF.SUB,|de|,|de..pn.1|,|de..1:-1.000|,|,|,,9,10,SS,0,egna meningar
45,säger,VB.PRS.AKT,|säga|,|säga..vb.1|,|säga..1:0.784|säga..2:0.119|säga..3:0.097|,|,|,0.0,10,6,ET,0,egna meningar
45,.,MAD,|,|,|,|,|,,11,3,IP,0,egna meningar
46,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,SS,0,egna meningar
46,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,2,0,ROOT,0,egna meningar
46,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,3,5,DT,0,egna meningar
46,vanlig,JJ.POS.UTR.SIN.IND.NOM,|vanlig|,|vanlig..av.1|,|vanlig..1:-1.000|,|,|,0.0,4,5,AT,0,egna meningar
46,dag,NN.UTR.SIN.IND.NOM,|dag|,|dag..nn.1|,|dag..1:0.847|dag..2:0.153|,|,|,0.0,5,2,SP,0,egna meningar
46,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,6,5,ET,0,egna meningar
46,kontoret,NN.NEU.SIN.DEF.NOM,|kontor|,|kontor..nn.1|,|kontor..1:-1.000|,|konto..nn.1+r..nn.1:8.914e-12|kont..nn.1+or..nn.1:6.595e-16|,|konto+ret|kont+oret|,0.0,7,6,PA,0,egna meningar
46,.,MAD,|,|,|,|,|,,8,2,IP,0,egna meningar
47,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,0,egna meningar
47,behöver,VB.PRS.AKT,|behöva|,|behöva..vb.1|,|behöva..1:-1.000|,|,|,0.0,2,0,ROOT,0,egna meningar
47,köpa,VB.INF.AKT,|köpa|,|köpa..vb.1|köpa..vb.2|,|köpa..1:0.993|köpa..2:0.007|,|,|,0.0,3,2,VG,0,egna meningar
47,nya,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,0.0,4,5,AT,0,egna meningar
47,skor,NN.UTR.PLU.IND.NOM,|sko|,|sko..nn.1|,|sko..1:-1.000|,|,|,0.0,5,3,OO,0,egna meningar
47,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,6,3,OA,0,egna meningar
47,vintern,NN.UTR.SIN.DEF.NOM,|vinter|,|vinter..nn.1|,|vinter..1:-1.000|,|vina..nn.1+tern..nn.1:7.705e-12|vin..nn.1+tern..nn.1:7.705e-12|vin..nn.2+tern..nn.1:7.705e-12|vina..vb.1+tern..nn.1:5.499e-22|vina..vb.2+tern..nn.1:5.499e-22|,|vin+tern|,0.0,7,6,PA,0,egna meningar
47,.,MAD,|,|,|,|,|,,8,2,IP,0,egna meningar
48,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,0,egna meningar
48,ska,VB.PRS.AKT,|skola|,|skola..vb.2|,|skola..4:-1.000|,|,|,0.0,2,0,ROOT,0,egna meningar
48,besöka,VB.INF.AKT,|besöka|,|besöka..vb.1|,|besöka..1:-1.000|,|,|,0.0,3,2,VG,0,egna meningar
48,biblioteket,NN.NEU.SIN.DEF.NOM,|bibliotek|,|bibliotek..nn.1|,|bibliotek..1:-1.000|,|,|,0.0,4,3,OO,0,egna meningar
48,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,5,3,OA,0,egna meningar
48,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,6,5,PA,0,egna meningar
48,låna,VB.INF.AKT,|låna|,|låna..vb.1|,|låna..1:0.988|låna..2:0.012|,|,|,0.0,7,6,IF,0,egna meningar
48,några,DT.UTR+NEU.PLU.IND,|någon|,|någon..pn.1|,|någon..1:-1.000|,|,|,,8,9,DT,0,egna meningar
48,böcker,NN.UTR.PLU.IND.NOM,|bok|,|bok..nn.1|,|bok..1:-1.000|,|,|,0.0,9,7,OO,0,egna meningar
48,.,MAD,|,|,|,|,|,,10,2,IP,0,egna meningar
49,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,0,egna meningar
49,dricker,VB.PRS.AKT,|dricka|,|dricka..vb.1|,|dricka..1:0.510|dricka..4:0.490|,|,|,0.0,2,0,ROOT,0,egna meningar
49,alltid,AB,|alltid|,|alltid..ab.1|,|alltid..1:-1.000|,|,|,,3,2,TA,0,egna meningar
49,två,RG.NOM,|två|,|två..nl.1|,|två..1:-1.000|,|,|,,4,5,DT,0,egna meningar
49,koppar,NN.UTR.PLU.IND.NOM,|kopp|,|kopp..nn.1|,|kopp..1:-1.000|,|koppa..nn.1+par..nn.1:1.648e-09|kopp..nn.1+par..nn.1:1.648e-09|koppa..vb.1+par..nn.1:3.481e-19|,|kopp+par|,,5,6,DT,0,egna meningar
49,kaffe,NN.NEU.SIN.IND.NOM,|kaffe|,|kaffe..nn.1|,|kaffe..1:-1.000|,|,|,0.0,6,2,OO,0,egna meningar
49,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,7,6,ET,0,egna meningar
49,morgonen,NN.UTR.SIN.DEF.NOM,|morgon|,|morgon..nn.1|,|morgon..1:-1.000|,|mora..nn.1+gon..nn.1:1.371e-13|mor..nn.2+gon..nn.1:1.371e-13|mor..nn.1+gon..nn.1:1.371e-13|mora..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.2+go..nn.1+n..nn.1:2.522e-25|mor..nn.2+go..nn.2+n..nn.1:2.522e-25|mor..nn.2+go..nn.1+nen..nn.1:2.522e-25|mor..nn.2+go..nn.2+nen..nn.1:2.522e-25|mor..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.2+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.1+nen..nn.1:2.522e-25|mora..nn.1+go..nn.2+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+nen..nn.1:2.522e-25|mor..nn.2+go..av.1+n..nn.1:9.768e-27|mor..nn.2+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+nen..nn.1:9.768e-27|mor..nn.1+go..av.1+n..nn.1:9.768e-27|mor..nn.1+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+n..nn.1:9.768e-27|,|mor+gonen|mor+go+nen|,0.0,8,7,PA,0,egna meningar
49,.,MAD,|,|,|,|,|,,9,2,IP,0,egna meningar
50,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,SS,0,egna meningar
50,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,2,0,ROOT,0,egna meningar
50,dags,NN.UTR.-.-.-,|dag|dags|,|dag..nn.1|dags..nn.1|,|dags..1:0.721|dag..1:0.244|dag..2:0.035|,|,|,0.0,3,2,SP,0,egna meningar
50,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,4,3,ET,0,egna meningar
50,plantera,VB.INF.AKT,|plantera|,|plantera..vb.1|,|plantera..1:-1.000|,|,|,,5,4,IF,0,egna meningar
50,om,PP,|om|,|om..pp.1|,|om..1:-1.000|om..5:-1.000|,|,|,,6,5,OA,0,egna meningar
50,krukväxterna,NN.UTR.PLU.DEF.NOM,|krukväxt|,|krukväxt..nn.1|,|krukväxt..1:-1.000|,|kruka..nn.1+växt..nn.1:2.461e-15|,|kruk+växterna|,,7,6,PA,0,egna meningar
50,.,MAD,|,|,|,|,|,,8,2,IP,0,egna meningar
51,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,egna meningar
51,fastnade,VB.PRT.AKT,|fastna|,|fastna..vb.1|,|fastna..1:-1.000|,|,|,0.0,2,5,MS,-1,egna meningar
51,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,3,2,RA,-1,egna meningar
51,trafiken,NN.UTR.SIN.DEF.NOM,|trafik|,|trafik..nn.1|,|trafik..1:0.865|trafik..2:0.135|,|,|,0.0,4,3,PA,-1,egna meningar
51,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,5,0,ROOT,-1,egna meningar
51,kom,VB.PRT.AKT,|komma|komma för|,|komma..vb.1|komma_för..vbm.1|,|komma..3:0.632|komma..1:0.368|komma_för..1:-1.000|,|,|,1.0,6,5,+F,-1,egna meningar
51,för,AB,|för|komma för:06|för sent|,|för..ab.1|komma_för..vbm.1:06|för_sent..abm.1|,|försent..1:0.853|för..3:0.130|för..8:0.016|komma_för..1:06:-1.000|,|,|,,7,8,AA,-1,egna meningar
51,sent,AB.POS,|sen|för sent:07|,|sen..av.1|för_sent..abm.1:07|,|sen..1:1.000|försent..1:07:0.000|,|,|,0.0,8,9,PA,-1,egna meningar
51,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,9,6,RA,-1,egna meningar
51,mötet,NN.NEU.SIN.DEF.NOM,|möte|,|möte..nn.1|,|möte..1:-1.000|,|,|,0.0,10,9,PA,-1,egna meningar
51,.,MAD,|,|,|,|,|,,11,5,IP,-1,egna meningar
52,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,FS,-1,egna meningar
52,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,2,0,ROOT,-1,egna meningar
52,så,AB,|så|,|så..ab.1|,|så..1:-1.000|,|,|,,3,4,AA,-1,egna meningar
52,tråkigt,JJ.POS.NEU.SIN.IND.NOM,|tråkig|,|tråkig..av.1|,|tråkig..1:0.963|tråkig..2:0.037|,|,|,-1.0,4,2,SP,-1,egna meningar
52,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,5,2,ES,-1,egna meningar
52,dagarna,NN.UTR.PLU.DEF.NOM,|dag|,|dag..nn.1|,|dag..1:0.749|dag..2:0.251|,|,|,0.0,6,7,SS,-1,egna meningar
52,blir,VB.PRS.AKT,|bli|,|bli..vb.1|,|bli..1:0.785|bli..2:0.215|,|,|,0.0,7,5,UA,-1,egna meningar
52,kortare,JJ.KOM.UTR+NEU.SIN+PLU.IND+DEF.NOM,|kort|,|kort..av.1|,|kort..1:-1.000|,|,|,0.0,8,7,SP,-1,egna meningar
52,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,9,7,OA,-1,egna meningar
52,hösten,NN.UTR.SIN.DEF.NOM,|höst|,|höst..nn.1|,|höst..1:-1.000|,|hö..nn.1+sten..nn.2:3.309e-11|hö..nn.1+sten..nn.1:3.309e-11|,|hö+sten|,0.0,10,9,PA,-1,egna meningar
52,.,MAD,|,|,|,|,|,,11,2,IP,-1,egna meningar
53,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,egna meningar
53,glömde,VB.PRT.AKT,|glömma|,|glömma..vb.1|,|glömma..1:0.962|glömma..2:0.038|,|,|,0.0,2,5,MS,-1,egna meningar
53,mitt,PS.NEU.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,3,4,DT,-1,egna meningar
53,paraply,NN.NEU.SIN.IND.NOM,|paraply|,|paraply..nn.1|,|paraply..1:-1.000|,|par..nn.1+apa..nn.1+ly..nn.1:2.232e-18|para..vb.1+apa..nn.1+ly..nn.1:5.784e-29|,|par+ap+ly|,,4,2,OO,-1,egna meningar
53,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,5,0,ROOT,-1,egna meningar
53,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..2:0.550|bli..1:0.450|,|,|,0.0,6,5,+F,-1,egna meningar
53,genomblöt,JJ.POS.UTR.SIN.IND.NOM,|genomblöt|,|genomblöt..av.1|,|genomblöt..1:-1.000|,|genom..nn.1+blöt..av.1:2.122e-20|gen..nn.1+om..ab.1+blöt..av.1:3.377e-18|gen..av.1+om..ab.1+blöt..av.1:3.182e-26|gena..vb.1+om..ab.1+blöt..av.1:6.370e-27|gen..nn.1+om..nn.1+blöt..av.1:1.740e-27|gen..av.1+om..nn.1+blöt..av.1:1.967e-35|gena..vb.1+om..nn.1+blöt..av.1:4.374e-36|,|genom+blöt|gen+om+blöt|,,7,6,SP,-1,egna meningar
53,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,8,6,RA,-1,egna meningar
53,regnet,NN.NEU.SIN.DEF.NOM,|regn|,|regn..nn.1|,|regn..1:0.989|regn..2:0.011|,|,|,,9,8,PA,-1,egna meningar
53,.,MAD,|,|,|,|,|,,10,5,IP,-1,egna meningar
54,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,DT,-1,egna meningar
54,dator,NN.UTR.SIN.IND.NOM,|dator|,|dator..nn.1|,|dator..1:-1.000|,|,|,0.0,2,3,SS,-1,egna meningar
54,kraschade,VB.PRT.AKT,|krascha|,|krascha..vb.1|krascha..vb.2|,|krascha..2:0.808|krascha..1:0.192|,|,|,,3,4,MS,-1,egna meningar
54,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,4,0,ROOT,-1,egna meningar
54,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,5,6,SS,-1,egna meningar
54,förlorade,VB.PRT.AKT,|förlora|,|förlora..vb.1|,|förlora..1:0.865|förlora..2:0.135|förlora..3:0.000|,|,|,-1.0,6,4,MS,-1,egna meningar
54,viktiga,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|viktig|,|viktig..av.1|,|viktig..2:0.689|viktig..1:0.311|,|,|,-1.0,7,8,AT,-1,egna meningar
54,filer,NN.UTR.PLU.IND.NOM,|fil|,|fil..nn.1|,|fil..1:0.510|fil..5:0.356|fil..4:0.134|,|,|,,8,6,OO,-1,egna meningar
54,.,MAD,|,|,|,|,|,,9,4,IP,-1,egna meningar
55,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,egna meningar
55,har,VB.PRS.AKT,|ha|ha ont|,|ha..vb.1|ha_ont..vbm.1|,|ha..1:0.656|ha..3:0.344|ha_ont..1:-1.000|,|,|,0.0,2,0,ROOT,-1,egna meningar
55,ont,AB.POS,|ond|ha ont:02|,|ond..av.1|ha_ont..vbm.1:02|,|ond..2:0.788|ond..1:0.133|ond..3:0.049|ond..4:0.031|ha_ont..1:02:-1.000|,|,|,-1.0,3,2,AA,-1,egna meningar
55,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,4,2,RA,-1,egna meningar
55,halsen,NN.UTR.SIN.DEF.NOM,|hals|,|hals..nn.1|,|hals..1:0.991|hals..2:0.009|,|hal..av.1+s..nn.1:6.765e-21|hala..vb.1+s..nn.1:1.087e-28|,|hal+sen|,,5,4,PA,-1,egna meningar
55,",",MID,|,|,|,|,|,,6,2,IK,-1,egna meningar
55,kanske,AB,|kanske|,|kanske..ab.1|,|kanske..1:-1.000|,|,|,,7,2,MA,-1,egna meningar
55,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,8,2,VG,-1,egna meningar
55,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,9,8,SS,-1,egna meningar
55,förkyld,PC.PRF.UTR.SIN.IND.NOM,|förkyld|,|förkyld..av.1|,|förkyld..1:-1.000|,|föra..vb.1+kyla..vb.1:1.402e-19|för..nn.1+kyla..vb.1:1.076e-23|,|för+kyld|,,10,8,SP,-1,egna meningar
55,.,MAD,|,|,|,|,|,,11,2,IP,-1,egna meningar
56,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,egna meningar
56,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,2,0,ROOT,-1,egna meningar
56,besviken,JJ.POS.UTR.SIN.IND.NOM,|besviken|,|besviken..av.1|,|besviken..1:-1.000|,|,|,-1.0,3,2,SP,-1,egna meningar
56,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,4,2,AA,-1,egna meningar
56,kvaliteten,NN.UTR.SIN.DEF.NOM,|kvalitet|,|kvalitet..nn.1|,|kvalitet..1:-1.000|,|,|,1.0,5,4,HD,-1,egna meningar
56,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,6,2,RA,-1,egna meningar
56,de,DT.UTR+NEU.PLU.DEF,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,7,9,DT,-1,egna meningar
56,nya,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,0.0,8,9,AT,-1,egna meningar
56,hörlurarna,NN.UTR.PLU.DEF.NOM,|hörlur|,|hörlur..nn.1|,|hörlur..1:-1.000|,|höra..vb.1+lur..nn.1:4.185e-12|,|hör+lurarna|,,9,6,PA,-1,egna meningar
56,.,MAD,|,|,|,|,|,,10,2,IP,-1,egna meningar
57,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,1,2,SS,-1,egna meningar
57,känns,VB.PRS.SFO,|känna|kännas|,|känna..vb.1|känna..vb.2|kännas..vb.1|,|kännas..1:0.539|känna..1:0.247|känna..2:0.124|känna..4:0.074|känna..3:0.016|,|,|,0.0,2,0,ROOT,-1,egna meningar
57,som,KN,|,|,|,|,|,,3,2,KA,-1,egna meningar
57,att,SN,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,4,3,UA,-1,egna meningar
57,ingenting,PN.NEU.SIN.IND.SUB+OBJ,|ingenting|,|ingenting..pn.1|,|ingenting..1:-1.000|,|,|,,5,6,SS,-1,egna meningar
57,går,VB.PRS.AKT,|gå|,|gå..vb.1|,|gå..7:0.328|gå..1:0.181|gå..2:0.140|gå..6:0.107|gå..11:0.053|gå..4:0.051|gå..8:0.043|gå..5:0.031|gå..10:0.028|gå..3:0.021|gå..9:0.018|,|,|,1.0,6,4,UA,-1,egna meningar
57,min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,7,8,DT,-1,egna meningar
57,väg,NN.UTR.SIN.IND.NOM,|väg|,|väg..nn.1|,|väg..2:0.682|väg..1:0.318|,|,|,0.0,8,6,OO,-1,egna meningar
57,idag,AB,|idag|,|idag..ab.1|,|i_dag..1:-1.000|i_dag..2:-1.000|,|,|,,9,8,ET,-1,egna meningar
57,.,MAD,|,|,|,|,|,,10,2,IP,-1,egna meningar
58,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,egna meningar
58,saknar,VB.PRS.AKT,|sakna|,|sakna..vb.1|sakna..vb.2|,|sakna..1:0.763|sakna..2:0.237|,|,|,-1.0,2,0,ROOT,-1,egna meningar
58,solen,NN.UTR.SIN.DEF.NOM,|sol|,|sol..nn.1|sol..nn.2|,|solen..1:0.700|sol..1:0.189|sol..3:0.102|sol..2:0.009|,|so..nn.1+l..nn.1:2.995e-19|,|so+len|,0.0,3,2,OO,-1,egna meningar
58,under,PP,|under|,|under..pp.1|,|under..1:-1.000|under..2:-1.000|,|,|,,4,2,TA,-1,egna meningar
58,de,DT.UTR+NEU.PLU.DEF,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,5,7,DT,-1,egna meningar
58,mörka,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|mörk|,|mörk..av.1|,|mörk..1:0.941|mörk..3:0.059|,|,|,0.0,6,7,AT,-1,egna meningar
58,vintermånaderna,NN.UTR.PLU.DEF.NOM,|vintermånad|,|vintermånad..nn.1|,|vintermånad..1:-1.000|,|vinter..nn.1+månad..nn.1:1.580e-10|,|vinter+månaderna|,,7,4,PA,-1,egna meningar
58,.,MAD,|,|,|,|,|,,8,2,IP,-1,egna meningar
59,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,egna meningar
59,brände,VB.PRT.AKT,|bränna|,|bränna..vb.1|,|bränna..1:0.976|bränna..2:0.024|,|,|,,2,0,ROOT,-1,egna meningar
59,maten,NN.UTR.SIN.DEF.NOM,|mat|,|mat..nn.1|,|mat..1:-1.000|,|,|,0.0,3,2,OO,-1,egna meningar
59,när,HA,|när|,|när..ab.1|,|när..1:0.619|nära..1:0.381|,|,|,,4,6,TA,-1,egna meningar
59,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,5,6,SS,-1,egna meningar
59,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..1:0.860|bli..2:0.140|,|,|,0.0,6,2,TA,-1,egna meningar
59,distraherad,PC.PRF.UTR.SIN.IND.NOM,|distrahera|distraherad|,|distrahera..vb.1|distraherad..av.1|,|distrahera..1:0.713|distraherad..1:0.287|,|,|,,7,6,SP,-1,egna meningar
59,.,MAD,|,|,|,|,|,,8,2,IP,-1,egna meningar
60,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,egna meningar
60,råkade,VB.PRT.AKT,|råka|,|råka..vb.1|,|råka..2:0.790|råka..1:0.210|,|,|,0.0,2,0,ROOT,-1,egna meningar
60,tappa,VB.INF.AKT,|tappa|,|tappa..vb.1|,|tappa..1:0.638|tappa..3:0.339|tappa..2:0.024|,|,|,-1.0,3,2,VG,-1,egna meningar
60,min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,4,6,DT,-1,egna meningar
60,telefon,NN.UTR.SIN.IND.NOM,|telefon|,|telefon..nn.1|,|telefon..1:-1.000|,|tele..sxc.1+fon..nn.1:6.604e-14|te..nn.1+le..vb.1+fon..nn.1:1.521e-21|te..nn.1+le..av.1+fon..nn.1:1.436e-28|,|tele+fon|te+le+fon|,0.0,5,6,CJ,-1,egna meningar
60,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,6,3,SS,-1,egna meningar
60,skärmen,NN.UTR.SIN.DEF.NOM,|skärm|,|skärm..nn.1|,|skärm..2:0.943|skärm..1:0.057|,|skär..nn.1+men..nn.2:2.786e-12|skär..nn.1+m..nn.1:2.786e-12|skära..nn.1+m..nn.1:2.786e-12|skär..nn.1+men..nn.1:2.786e-12|skära..nn.1+men..nn.2:2.786e-12|skära..nn.1+men..nn.1:2.786e-12|skära..vb.1+men..nn.1:1.235e-12|skära..vb.1+men..nn.2:1.235e-12|skära..vb.2+men..nn.1:1.235e-12|skära..vb.2+men..nn.2:1.235e-12|skära..vb.1+m..nn.1:1.235e-12|skära..vb.2+m..nn.1:1.235e-12|skär..av.1+men..nn.1:1.190e-12|skär..av.1+men..nn.2:1.190e-12|skär..av.1+m..nn.1:1.190e-12|,|skär+men|,,7,6,CJ,-1,egna meningar
60,sprack,VB.PRT.AKT,|spricka|,|spricka..vb.1|,|spricka..1:-1.000|,|,|,,8,3,VG,-1,egna meningar
60,.,MAD,|,|,|,|,|,,9,2,IP,-1,egna meningar
61,Solnedgången,NN.UTR.SIN.DEF.NOM,|solnedgång|,|solnedgång..nn.1|,|solnedgång..1:-1.000|,|sol..nn.2+nedgång..nn.1:5.151e-12|sol..nn.1+nedgång..nn.1:5.151e-12|sola..vb.1+nedgång..nn.1:3.720e-21|Sol..pm.1+nedgång..nn.1:3.445e-23|sol..nn.2+ned..ab.1+gång..nn.3:2.878e-16|sol..nn.1+ned..ab.1+gång..nn.3:2.878e-16|sol..nn.2+ned..ab.1+gång..nn.2:2.878e-16|sol..nn.1+ned..ab.1+gång..nn.1:2.878e-16|sol..nn.2+ned..ab.1+gång..nn.1:2.878e-16|sol..nn.1+ned..ab.1+gång..nn.2:2.878e-16|Sol..pm.1+ned..ab.1+gång..nn.2:6.639e-29|Sol..pm.1+ned..ab.1+gång..nn.1:6.639e-29|Sol..pm.1+ned..ab.1+gång..nn.3:6.639e-29|sola..vb.1+ned..ab.1+gång..nn.2:6.639e-29|sola..vb.1+ned..ab.1+gång..nn.1:6.639e-29|sola..vb.1+ned..ab.1+gång..nn.3:6.639e-29|,|sol+nedgången|Sol+nedgången|sol+ned+gången|Sol+ned+gången|,,1,4,SS,1,egna meningar
